商品,日期,今值,预测值,前值
中国CPI月率报告,2019-02-15,0.5,0.5,0.0
中国CPI月率报告,2019-03-09,1.0,0.7,0.5
中国CPI月率报告,2019-04-11,-0.4,-0.2,1.0
中国CPI月率报告,2019-05-09,0.1,0.1,-0.4
中国CPI月率报告,2019-06-12,0.0,0.1,0.1
中国CPI月率报告,2019-07-10,-0.1,-0.1,0.1
中国CPI月率报告,2019-08-09,0.4,0.2,-0.1
中国CPI月率报告,2019-09-10,0.7,0.5,0.4
中国CPI月率报告,2019-10-15,0.9,0.7,0.7
中国CPI月率报告,2019-12-10,0.4,0.1,0.9
中国CPI月率报告,2020-01-09,0.0,0.3,0.4
中国CPI月率报告,2020-02-10,1.4,0.8,0.4
中国CPI月率报告,2020-03-10,0.8,0.8,1.4
中国CPI月率报告,2020-04-10,-1.2,-0.7,0.8
中国CPI月率报告,2020-05-12,-0.9,-0.5,-1.2
中国CPI月率报告,2020-06-10,-0.8,-0.5,-0.9
中国CPI月率报告,2020-07-09,-0.1,-0.5,-0.8
中国CPI月率报告,2020-08-10,0.6,0.4,-0.1
中国CPI月率报告,2020-09-09,0.4,0.4,0.6
中国CPI月率报告,2020-10-15,0.2,0.3,0.4
中国CPI月率报告,2020-11-10,-0.3,0.2,0.2
中国CPI月率报告,2020-12-09,-0.6,-0.2,-0.3
中国CPI月率报告,2021-01-11,0.7,0.4,-0.6
中国CPI月率报告,2021-02-10,1.0,1.0,0.7
中国CPI月率报告,2021-03-10,0.6,0.4,1.0
中国CPI月率报告,2021-04-09,-0.5,-0.4,0.6
中国CPI月率报告,2021-05-11,-0.3,-0.2,-0.5
中国CPI月率报告,2021-06-09,-0.2,-0.1,-0.3
中国CPI月率报告,2021-07-09,-0.4,-0.1,-0.2
中国CPI月率报告,2021-08-09,0.3,0.2,-0.4
中国CPI月率报告,2021-09-09,0.1,0.5,0.3
中国CPI月率报告,2021-10-14,0.0,0.3,0.1
中国CPI月率报告,2021-11-10,0.7,0.7,0.1
中国CPI月率报告,2021-12-09,0.4,0.3,0.7
中国CPI月率报告,2022-01-12,-0.3,0.2,0.4
中国CPI月率报告,2022-02-16,0.4,0.5,-0.3
中国CPI月率报告,2022-03-09,0.6,0.3,0.4
中国CPI月率报告,2022-04-11,0.0,-0.1,0.6
中国CPI月率报告,2022-05-11,0.4,0.2,0.6
中国CPI月率报告,2022-06-10,-0.2,-0.3,0.4
中国CPI月率报告,2022-07-09,0.0,-0.1,-0.2
中国CPI月率报告,2022-08-10,0.5,0.5,-0.2
中国CPI月率报告,2022-09-09,-0.1,0.2,0.5
中国CPI月率报告,2022-10-14,0.3,0.4,-0.1
中国CPI月率报告,2022-11-09,0.1,0.3,0.3
中国CPI月率报告,2022-12-09,-0.2,-0.2,0.1
中国CPI月率报告,2023-01-12,0.0,-0.1,-0.2
中国CPI月率报告,2023-02-10,0.8,0.7,0.0
中国CPI月率报告,2023-03-09,-0.5,0.2,0.8
中国CPI月率报告,2023-04-11,-0.3,0.2,-0.5
中国CPI月率报告,2023-05-11,-0.1,0.0,-0.3
中国CPI月率报告,2023-06-09,-0.2,-0.1,-0.1
中国CPI月率报告,2023-07-10,-0.2,0.0,-0.2
中国CPI月率报告,2023-08-09,0.2,-0.1,-0.2
中国CPI月率报告,2023-09-09,0.3,0.3,0.2
中国CPI月率报告,2023-10-13,0.2,0.3,0.3
中国CPI月率报告,2023-11-09,-0.1,0.0,0.2
中国CPI月率报告,2023-12-09,-0.5,-0.1,-0.1
中国CPI月率报告,2024-01-12,0.1,0.2,-0.5
中国CPI月率报告,2024-02-08,0.3,0.4,0.1
中国CPI月率报告,2024-03-09,1.0,0.7,0.3
中国CPI月率报告,2024-04-11,-1.0,-0.5,1.0
中国CPI月率报告,2024-05-11,0.1,,-1.0
中国CPI月率报告,2024-06-12,-0.1,0.0,0.1
中国CPI月率报告,2024-07-10,-0.2,-0.1,-0.1
中国CPI月率报告,2024-08-09,0.5,0.3,-0.2
中国CPI月率报告,2024-09-09,0.4,0.5,0.5
中国CPI月率报告,2024-10-13,0.0,0.4,0.4
中国CPI月率报告,2024-11-09,-0.3,,0.0
中国CPI月率报告,2024-12-09,-0.6,-0.4,-0.3
中国CPI月率报告,2025-01-09,0.0,0.0,-0.6
中国CPI月率报告,2025-02-09,0.7,0.8,0.0
中国CPI月率报告,2025-03-09,-0.2,-0.1,0.7
中国CPI月率报告,2025-04-10,-0.4,-0.2,-0.2
中国CPI月率报告,2025-05-10,0.1,,-0.4
中国CPI月率报告,2025-06-09,-0.2,,0.1
中国CPI月率报告,2025-07-09,-0.1,0.0,-0.2
中国CPI月率报告,2025-08-09,0.4,0.3,-0.1
